drug,time,grade,year,estimate,LBYear1,LBYear2
ADHD Either Type,Current,10th Grade,2005,5.6,,
ADHD Either Type,Current,10th Grade,2006,4.8,,
ADHD Either Type,Current,10th Grade,2007,4.2,,
ADHD Either Type,Current,10th Grade,2008,4.5,,
ADHD Either Type,Current,10th Grade,2009,5,,
ADHD Either Type,Current,10th Grade,2010,4.6,,
ADHD Either Type,Current,10th Grade,2011,4.2,,
ADHD Either Type,Current,10th Grade,2012,5.1,,
ADHD Either Type,Current,10th Grade,2013,5,,
ADHD Either Type,Current,10th Grade,2014,4.8,,
ADHD Either Type,Current,10th Grade,2015,5.8,,
ADHD Either Type,Current,10th Grade,2016,4.3,,
ADHD Either Type,Current,10th Grade,2017,4,,
ADHD Either Type,Current,10th Grade,2018,5.1,,
ADHD Either Type,Current,10th Grade,2019,4.4,,
ADHD Either Type,Current,10th Grade,2020,4,,
ADHD Either Type,Current,10th Grade,2021,4.8,,
ADHD Either Type,Current,10th Grade,2022,5.3,,
ADHD Either Type,Current,10th Grade,2023,5.1,,
ADHD Either Type,Current,10th Grade,2024,4.4,,
ADHD Either Type,Current,12th Grade,2005,4.5,,
ADHD Either Type,Current,12th Grade,2006,3.7,,
ADHD Either Type,Current,12th Grade,2007,4.1,,
ADHD Either Type,Current,12th Grade,2008,4.4,,
ADHD Either Type,Current,12th Grade,2009,4.3,,
ADHD Either Type,Current,12th Grade,2010,5.2,,
ADHD Either Type,Current,12th Grade,2011,5.1,,
ADHD Either Type,Current,12th Grade,2012,5.5,,
ADHD Either Type,Current,12th Grade,2013,6,,
ADHD Either Type,Current,12th Grade,2014,5.5,,
ADHD Either Type,Current,12th Grade,2015,5.3,,
ADHD Either Type,Current,12th Grade,2016,5.6,,
ADHD Either Type,Current,12th Grade,2017,5.7,,
ADHD Either Type,Current,12th Grade,2018,5.9,,
ADHD Either Type,Current,12th Grade,2019,5,,
ADHD Either Type,Current,12th Grade,2020,4.2,,
ADHD Either Type,Current,12th Grade,2021,5.2,,
ADHD Either Type,Current,12th Grade,2022,8.4,,
ADHD Either Type,Current,12th Grade,2023,6.7,,
ADHD Either Type,Current,12th Grade,2024,5.8,,
ADHD Either Type,Current,8th Grade,2005,6.1,,
ADHD Either Type,Current,8th Grade,2006,5.2,,
ADHD Either Type,Current,8th Grade,2007,4.5,,
ADHD Either Type,Current,8th Grade,2008,5.1,,
ADHD Either Type,Current,8th Grade,2009,4.9,,
ADHD Either Type,Current,8th Grade,2010,4.7,,
ADHD Either Type,Current,8th Grade,2011,4.9,,
ADHD Either Type,Current,8th Grade,2012,4.7,,
ADHD Either Type,Current,8th Grade,2013,5,,
ADHD Either Type,Current,8th Grade,2014,4.6,,
ADHD Either Type,Current,8th Grade,2015,4.9,,
ADHD Either Type,Current,8th Grade,2016,5.6,,
ADHD Either Type,Current,8th Grade,2017,4.7,,
ADHD Either Type,Current,8th Grade,2018,5.2,,
ADHD Either Type,Current,8th Grade,2019,3.8,,
