DRUG1,estimate,time,drug,sex,college,year
Alc 5+,42.8,5+ Drinks,Alcohol,.,College Student,1988
Alc 5+,42.12,5+ Drinks,Alcohol,.,College Student,1989
Alc 5+,40.76,5+ Drinks,Alcohol,.,College Student,1990
Alc 5+,42.69,5+ Drinks,Alcohol,.,College Student,1991
Alc 5+,41.68,5+ Drinks,Alcohol,.,College Student,1992
Alc 5+,40.15,5+ Drinks,Alcohol,.,College Student,1993
Alc 5+,41.66,5+ Drinks,Alcohol,.,College Student,1994
Alc 5+,38.07,5+ Drinks,Alcohol,.,College Student,1995
Alc 5+,38.38,5+ Drinks,Alcohol,.,College Student,1996
Alc 5+,39.99,5+ Drinks,Alcohol,.,College Student,1997
Alc 5+,38.98,5+ Drinks,Alcohol,.,College Student,1998
Alc 5+,40.75,5+ Drinks,Alcohol,.,College Student,1999
Alc 5+,38.97,5+ Drinks,Alcohol,.,College Student,2000
Alc 5+,40.08,5+ Drinks,Alcohol,.,College Student,2001
Alc 5+,39.95,5+ Drinks,Alcohol,.,College Student,2002
Alc 5+,39.19,5+ Drinks,Alcohol,.,College Student,2003
Alc 5+,41.65,5+ Drinks,Alcohol,.,College Student,2004
Alc 5+,38.9,5+ Drinks,Alcohol,.,College Student,2005
Alc 5+,40.3,5+ Drinks,Alcohol,.,College Student,2006
Alc 5+,40.66,5+ Drinks,Alcohol,.,College Student,2007
Alc 5+,40.9,5+ Drinks,Alcohol,.,College Student,2008
Alc 5+,37.28,5+ Drinks,Alcohol,.,College Student,2009
Alc 5+,36.12,5+ Drinks,Alcohol,.,College Student,2010
Alc 5+,35.72,5+ Drinks,Alcohol,.,College Student,2011
Alc 5+,35.08,5+ Drinks,Alcohol,.,College Student,2012
Alc 5+,34.99,5+ Drinks,Alcohol,.,College Student,2013
Alc 5+,34.5,5+ Drinks,Alcohol,.,College Student,2014
Alc 5+,31.28,5+ Drinks,Alcohol,.,College Student,2015
Alc 5+,31,5+ Drinks,Alcohol,.,College Student,2016
Alc 5+,32.1,5+ Drinks,Alcohol,.,College Student,2017
Alc 5+,27.4,5+ Drinks,Alcohol,.,College Student,2018
Alc 5+,30.4,5+ Drinks,Alcohol,.,College Student,2019
Alc 5+,23.5,5+ Drinks,Alcohol,.,College Student,2020
Alc 5+,31.2,5+ Drinks,Alcohol,.,College Student,2021
Alc 5+,27.7,5+ Drinks,Alcohol,.,College Student,2022
Alc 5+,21.9,5+ Drinks,Alcohol,.,College Student,2023
Alc 5+,35.41,5+ Drinks,Alcohol,College Student Women,.,1988
Alc 5+,35.01,5+ Drinks,Alcohol,College Student Women,.,1989
Alc 5+,31.93,5+ Drinks,Alcohol,College Student Women,.,1990
Alc 5+,34.15,5+ Drinks,Alcohol,College Student Women,.,1991
Alc 5+,32.6,5+ Drinks,Alcohol,College Student Women,.,1992
Alc 5+,32.32,5+ Drinks,Alcohol,College Student Women,.,1993
Alc 5+,31.59,5+ Drinks,Alcohol,College Student Women,.,1994
Alc 5+,31.82,5+ Drinks,Alcohol,College Student Women,.,1995
Alc 5+,30.83,5+ Drinks,Alcohol,College Student Women,.,1996
Alc 5+,31.97,5+ Drinks,Alcohol,College Student Women,.,1997
Alc 5+,29.92,5+ Drinks,Alcohol,College Student Women,.,1998
Alc 5+,32.86,5+ Drinks,Alcohol,College Student Women,.,1999
Alc 5+,33.14,5+ Drinks,Alcohol,College Student Women,.,2000
Alc 5+,34.14,5+ Drinks,Alcohol,College Student Women,.,2001
Alc 5+,32.81,5+ Drinks,Alcohol,College Student Women,.,2002
Alc 5+,32.64,5+ Drinks,Alcohol,College Student Women,.,2003
Alc 5+,37.27,5+ Drinks,Alcohol,College Student Women,.,2004
Alc 5+,32.3,5+ Drinks,Alcohol,College Student Women,.,2005
Alc 5+,36.63,5+ Drinks,Alcohol,College Student Women,.,2006
Alc 5+,34.48,5+ Drinks,Alcohol,College Student Women,.,2007
Alc 5+,34.96,5+ Drinks,Alcohol,College Student Women,.,2008
Alc 5+,30.08,5+ Drinks,Alcohol,College Student Women,.,2009
Alc 5+,30.8,5+ Drinks,Alcohol,College Student Women,.,2010
Alc 5+,31.41,5+ Drinks,Alcohol,College Student Women,.,2011
Alc 5+,31.99,5+ Drinks,Alcohol,College Student Women,.,2012
Alc 5+,29.53,5+ Drinks,Alcohol,College Student Women,.,2013
Alc 5+,27.5,5+ Drinks,Alcohol,College Student Women,.,2014
Alc 5+,26.72,5+ Drinks,Alcohol,College Student Women,.,2015
Alc 5+,28.9,5+ Drinks,Alcohol,College Student Women,.,2016
Alc 5+,28,5+ Drinks,Alcohol,College Student Women,.,2017
Alc 5+,26,5+ Drinks,Alcohol,College Student Women,.,2018
Alc 5+,28.4,5+ Drinks,Alcohol,College Student Women,.,2019
Alc 5+,18.2,5+ Drinks,Alcohol,College Student Women,.,2020
