drug1,estimate,time,drug,raceEthnicity,sex,age,year
ALC 30-DAY,55.72,30 Day,Alcohol,BLACK,,Ages 19-30,1988
ALC 30-DAY,57.41,30 Day,Alcohol,BLACK,,Ages 19-30,1989
ALC 30-DAY,54.04,30 Day,Alcohol,BLACK,,Ages 19-30,1990
ALC 30-DAY,55.06,30 Day,Alcohol,BLACK,,Ages 19-30,1991
ALC 30-DAY,49.79,30 Day,Alcohol,BLACK,,Ages 19-30,1992
ALC 30-DAY,51.92,30 Day,Alcohol,BLACK,,Ages 19-30,1993
ALC 30-DAY,51.01,30 Day,Alcohol,BLACK,,Ages 19-30,1994
ALC 30-DAY,53.96,30 Day,Alcohol,BLACK,,Ages 19-30,1995
ALC 30-DAY,50.43,30 Day,Alcohol,BLACK,,Ages 19-30,1996
ALC 30-DAY,50,30 Day,Alcohol,BLACK,,Ages 19-30,1997
ALC 30-DAY,49.41,30 Day,Alcohol,BLACK,,Ages 19-30,1998
ALC 30-DAY,48.97,30 Day,Alcohol,BLACK,,Ages 19-30,1999
ALC 30-DAY,47.46,30 Day,Alcohol,BLACK,,Ages 19-30,2000
ALC 30-DAY,50.73,30 Day,Alcohol,BLACK,,Ages 19-30,2001
ALC 30-DAY,51.34,30 Day,Alcohol,BLACK,,Ages 19-30,2002
ALC 30-DAY,44.13,30 Day,Alcohol,BLACK,,Ages 19-30,2003
ALC 30-DAY,50.69,30 Day,Alcohol,BLACK,,Ages 19-30,2004
ALC 30-DAY,48.04,30 Day,Alcohol,BLACK,,Ages 19-30,2005
ALC 30-DAY,46.25,30 Day,Alcohol,BLACK,,Ages 19-30,2006
ALC 30-DAY,49.41,30 Day,Alcohol,BLACK,,Ages 19-30,2007
ALC 30-DAY,55.07,30 Day,Alcohol,BLACK,,Ages 19-30,2008
ALC 30-DAY,55.77,30 Day,Alcohol,BLACK,,Ages 19-30,2009
ALC 30-DAY,49.6,30 Day,Alcohol,BLACK,,Ages 19-30,2010
ALC 30-DAY,54.6,30 Day,Alcohol,BLACK,,Ages 19-30,2011
ALC 30-DAY,55.4,30 Day,Alcohol,BLACK,,Ages 19-30,2012
ALC 30-DAY,53.7,30 Day,Alcohol,BLACK,,Ages 19-30,2013
ALC 30-DAY,54.87,30 Day,Alcohol,BLACK,,Ages 19-30,2014
ALC 30-DAY,53.18,30 Day,Alcohol,BLACK,,Ages 19-30,2015
ALC 30-DAY,56.1,30 Day,Alcohol,BLACK,,Ages 19-30,2016
ALC 30-DAY,51.73,30 Day,Alcohol,BLACK,,Ages 19-30,2017
ALC 30-DAY,56.4,30 Day,Alcohol,BLACK,,Ages 19-30,2018
ALC 30-DAY,55.9,30 Day,Alcohol,BLACK,,Ages 19-30,2019
ALC 30-DAY,56.2,30 Day,Alcohol,BLACK,,Ages 19-30,2020
ALC 30-DAY,61.5,30 Day,Alcohol,BLACK,,Ages 19-30,2021
ALC 30-DAY,60.7,30 Day,Alcohol,BLACK,,Ages 19-30,2022
ALC 30-DAY,57.3,30 Day,Alcohol,BLACK,,Ages 19-30,2023
ALC 30-DAY,65.13,30 Day,Alcohol,HISPANIC,,Ages 19-30,1988
ALC 30-DAY,68.1,30 Day,Alcohol,HISPANIC,,Ages 19-30,1989
ALC 30-DAY,62.21,30 Day,Alcohol,HISPANIC,,Ages 19-30,1990
ALC 30-DAY,59.54,30 Day,Alcohol,HISPANIC,,Ages 19-30,1991
ALC 30-DAY,62.79,30 Day,Alcohol,HISPANIC,,Ages 19-30,1992
ALC 30-DAY,61.87,30 Day,Alcohol,HISPANIC,,Ages 19-30,1993
ALC 30-DAY,62.26,30 Day,Alcohol,HISPANIC,,Ages 19-30,1994
ALC 30-DAY,59.93,30 Day,Alcohol,HISPANIC,,Ages 19-30,1995
ALC 30-DAY,59.06,30 Day,Alcohol,HISPANIC,,Ages 19-30,1996
ALC 30-DAY,61.04,30 Day,Alcohol,HISPANIC,,Ages 19-30,1997
ALC 30-DAY,60.75,30 Day,Alcohol,HISPANIC,,Ages 19-30,1998
