time,drug,year,age_19_20,age_21_22,age_23_24,age_25_26,age_27_28,age_29_30,age_35,age_40,age_45,age_50,age_55,age_60,age_65,age_18
12 Month,Adderall,1978,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1979,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1980,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1981,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1982,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1983,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1984,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1985,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1986,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1987,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1988,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1989,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1990,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1991,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1992,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1993,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1994,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1995,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1996,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1997,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1998,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,1999,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2000,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2001,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2002,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2003,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2004,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2005,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2006,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2007,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2008,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12 Month,Adderall,2009,8.1714,7.278,4.1807,4.5137,4.1546,2.85797,.,.,.,.,.,.,.,5.417969548
12 Month,Adderall,2010,6.9148,8.4765,6.2831,6.3019,4.1398,3.25797,.,.,.,.,.,.,.,6.527956415
12 Month,Adderall,2011,8.279,9.473,5.5754,4.5711,4.3884,2.13606,.,.,.,.,.,.,.,6.536678341
12 Month,Adderall,2012,7.5451,7.8582,7.7787,5.9065,5.7652,3.83716,.,.,.,.,.,.,.,7.638230362
12 Month,Adderall,2013,9.7506,8.9413,5.8391,5.172,4.7741,3.09766,.,.,.,.,.,.,.,7.374118726
12 Month,Adderall,2014,11.1199,7.0767,6.8813,7.3803,6.3369,4.52144,.,.,.,.,.,.,.,6.770617237
12 Month,Adderall,2015,9.4262,10.7349,8.0303,6.6777,3.4602,3.54366,.,.,.,.,.,.,.,7.479196681
12 Month,Adderall,2016,7.6938,9.3593,5.5696,6.8351,5.4714,5.97623,.,.,.,.,.,.,.,6.152536983
12 Month,Adderall,2017,4.8566,12.8295,11.1878,7.38,7.5559,5.47262,.,.,.,.,.,.,.,5.542634119
12 Month,Adderall,2018,6.9692,10.2933,12.9187,7.8064,5.4466,6.40393,.,.,.,.,.,.,.,4.587083345
12 Month,Adderall,2019,2.9077,9.0547,6.8885,7.3776,5.0708,4.63202,.,.,.,.,.,.,.,3.852081919
12 Month,Adderall,2020,5.1488,7.5639,7.3387,10.0416,5.6163,6.21666,.,.,.,.,.,.,.,4.358920428
12 Month,Adderall,2021,4.1596,8.4092,5.2638,8.3753,7.696,6.24646,.,.,.,.,.,.,.,1.761527656
12 Month,Adderall,2022,3.3457,3.9914,8.3598,9.8434,12.2545,6.51707,.,.,.,.,.,.,.,3.429547804
12 Month,Adderall,2023,1.7,1.7504,4.68,2.7485,5.7463,4.10328,.,.,.,.,.,.,.,1.729980183
12 Month,Alcohol,1976,.,.,.,.,.,.,.,.,.,.,.,.,.,85.73753781
12 Month,Alcohol,1977,.,.,.,.,.,.,.,.,.,.,.,.,.,87.03184772
12 Month,Alcohol,1978,90.4034,.,.,.,.,.,.,.,.,.,.,.,.,87.6961035
12 Month,Alcohol,1979,90.5444,.,.,.,.,.,.,.,.,.,.,.,.,88.07838361
12 Month,Alcohol,1980,89.1695,90.6925,.,.,.,.,.,.,.,.,.,.,.,87.86284286
12 Month,Alcohol,1981,91.1335,91.7794,.,.,.,.,.,.,.,.,.,.,.,86.98516943
12 Month,Alcohol,1982,89.4657,91.5164,90.7797,.,.,.,.,.,.,.,.,.,.,86.84536672
12 Month,Alcohol,1983,89.0589,92.4385,91.3599,.,.,.,.,.,.,.,.,.,.,87.2510895
12 Month,Alcohol,1984,89.4508,90.0716,90.4063,89.1794,.,.,.,.,.,.,.,.,.,85.98505243
12 Month,Alcohol,1985,89.3316,90.4138,92.0173,90.2667,.,.,.,.,.,.,.,.,.,85.57035983
12 Month,Alcohol,1986,88.153,90.5044,88.9737,88.6056,88.763,.,.,.,.,.,.,.,.,84.45856305
12 Month,Alcohol,1987,88.5495,91.3819,90.5038,90.3822,87.7325,.,.,.,.,.,.,.,.,85.67044961
12 Month,Alcohol,1988,87.2675,89.1927,89.6399,90.313,87.4962,88.4494,.,.,.,.,.,.,.,85.3252035
12 Month,Alcohol,1989,87.3377,89.6824,89.2665,88.4093,87.9823,86.1459,.,.,.,.,.,.,.,82.6775649
12 Month,Alcohol,1990,86.0133,89.8368,87.8257,87.9086,87.015,87.0938,.,.,.,.,.,.,.,80.64973103
12 Month,Alcohol,1991,85.2165,88.7809,88.376,88.3698,86.2569,85.541,.,.,.,.,.,.,.,77.7487521
12 Month,Alcohol,1992,82.8786,88.0478,89.0978,86.3743,85.7419,85.356,.,.,.,.,.,.,.,76.76629475
12 Month,Alcohol,1993,80.4482,85.5442,87.0405,88.4278,86.3228,83.9024,.,.,.,.,.,.,.,72.66878907
12 Month,Alcohol,1994,79.0894,85.1645,86.3979,86.0294,83.4935,82.9924,83.3942,.,.,.,.,.,.,73.01607772
12 Month,Alcohol,1995,78.4631,85.1444,87.2229,85.8922,86.3288,84.0388,82.2813,.,.,.,.,.,.,73.6508032
12 Month,Alcohol,1996,79.9565,83.7923,86.1736,85.5299,85.4887,83.5869,84.276,.,.,.,.,.,.,72.48814213
12 Month,Alcohol,1997,79.3533,84.0741,84.9841,86.0237,85.1895,83.7595,83.3826,.,.,.,.,.,.,74.7627186
12 Month,Alcohol,1998,80.1989,85.482,84.8631,84.6083,85.81,83.6345,82.6657,77.4415,.,.,.,.,.,74.27624702
12 Month,Alcohol,1999,80.3873,84.7097,84.4602,84.4099,83.8127,83.6948,82.1549,80.4809,.,.,.,.,.,73.76174899
12 Month,Alcohol,2000,78.1601,85.4701,86.4365,83.9051,83.0366,84.2058,81.5462,79.7333,.,.,.,.,.,73.20615464
12 Month,Alcohol,2001,78.2457,86.9265,85.746,85.7095,83.376,83.7661,82.5244,81.493,.,.,.,.,.,73.30358681
12 Month,Alcohol,2002,78.2056,84.7741,87.5485,87.4517,83.9381,84.4389,85.2368,80.9425,.,.,.,.,.,71.51113245
12 Month,Alcohol,2003,75.7695,84.0832,87.2914,85.2794,82.3489,82.7381,82.7525,81.3381,79.1308,.,.,.,.,70.11347241
12 Month,Alcohol,2004,76.9185,85.7147,85.8209,86.4113,85.2841,82.91,85.4247,80.8326,79.7016,.,.,.,.,70.61380054
12 Month,Alcohol,2005,77.337,84.7268,86.48,84.947,84.6648,83.8622,85.5528,82.2382,79.4793,.,.,.,.,68.56753079
12 Month,Alcohol,2006,77.7866,83.5946,87.5994,84.6927,85.8022,83.7656,83.184,79.7594,82.7681,.,.,.,.,66.48623399
12 Month,Alcohol,2007,73.4017,87.1548,87.8968,84.7724,84.3491,84.3483,84.6158,85.1798,80.7043,.,.,.,.,66.38528643
12 Month,Alcohol,2008,73.8117,87.4937,85.9152,84.6029,84.5284,87.674,84.2504,82.1024,80.0604,79.0951,.,.,.,65.47571306
12 Month,Alcohol,2009,71.8612,84.71,87.5956,88.6084,86.884,83.5415,83.5022,85.6633,82.6623,80.3738,.,.,.,66.17829318
