grade,time,drug,year,attitude,estimate,LBYear1
8th Grade,Once or Twice,Alcohol,1991,Disapproval,51.693284425,2019
8th Grade,Once or Twice,Alcohol,1992,Disapproval,52.214591846,2019
8th Grade,Once or Twice,Alcohol,1993,Disapproval,50.920360809,2019
8th Grade,Once or Twice,Alcohol,1994,Disapproval,47.815976657,2019
8th Grade,Once or Twice,Alcohol,1995,Disapproval,47.963898969,2019
8th Grade,Once or Twice,Alcohol,1996,Disapproval,45.521270596,2019
8th Grade,Once or Twice,Alcohol,1997,Disapproval,45.65635766,2019
8th Grade,Once or Twice,Alcohol,1998,Disapproval,47.452803458,2019
8th Grade,Once or Twice,Alcohol,1999,Disapproval,48.302660479,2019
8th Grade,Once or Twice,Alcohol,2000,Disapproval,48.685035982,2019
8th Grade,Once or Twice,Alcohol,2001,Disapproval,49.822058857,2019
8th Grade,Once or Twice,Alcohol,2002,Disapproval,51.103088542,2019
8th Grade,Once or Twice,Alcohol,2003,Disapproval,49.666798444,2019
8th Grade,Once or Twice,Alcohol,2004,Disapproval,51.053136152,2019
8th Grade,Once or Twice,Alcohol,2005,Disapproval,51.175020264,2019
8th Grade,Once or Twice,Alcohol,2006,Disapproval,51.275924215,2019
8th Grade,Once or Twice,Alcohol,2007,Disapproval,54.037570059,2019
8th Grade,Once or Twice,Alcohol,2008,Disapproval,52.480572116,2019
8th Grade,Once or Twice,Alcohol,2009,Disapproval,52.688154698,2019
8th Grade,Once or Twice,Alcohol,2010,Disapproval,54.210717437,2019
8th Grade,Once or Twice,Alcohol,2011,Disapproval,54.048561677,2019
8th Grade,Once or Twice,Alcohol,2012,Disapproval,54.122955173,2019
8th Grade,Once or Twice,Alcohol,2013,Disapproval,53.284851563,2019
8th Grade,Once or Twice,Alcohol,2014,Disapproval,53.287747795,2019
8th Grade,Once or Twice,Alcohol,2015,Disapproval,53.736054926,2019
8th Grade,Once or Twice,Alcohol,2016,Disapproval,52.582266097,2019
8th Grade,Once or Twice,Alcohol,2017,Disapproval,50.979272355,2019
8th Grade,Once or Twice,Alcohol,2018,Disapproval,47.366947571,2019
8th Grade,Once or Twice,Alcohol,2019,Disapproval,46.178960878,2019
8th Grade,Once or Twice,Alcohol,2021,Disapproval,40.91097787,2019
8th Grade,Once or Twice,Alcohol,2022,Disapproval,47.199006154,2019
10th Grade,Once or Twice,Alcohol,1991,Disapproval,37.587577378,2019
10th Grade,Once or Twice,Alcohol,1992,Disapproval,39.859478307,2019
10th Grade,Once or Twice,Alcohol,1993,Disapproval,38.51059686,2019
10th Grade,Once or Twice,Alcohol,1994,Disapproval,36.480028748,2019
10th Grade,Once or Twice,Alcohol,1995,Disapproval,36.147047699,2019
10th Grade,Once or Twice,Alcohol,1996,Disapproval,34.22500143,2019
10th Grade,Once or Twice,Alcohol,1997,Disapproval,33.719017896,2019
10th Grade,Once or Twice,Alcohol,1998,Disapproval,34.709370585,2019
10th Grade,Once or Twice,Alcohol,1999,Disapproval,35.053044142,2019
10th Grade,Once or Twice,Alcohol,2000,Disapproval,33.378548282,2019
10th Grade,Once or Twice,Alcohol,2001,Disapproval,34.656692844,2019
10th Grade,Once or Twice,Alcohol,2002,Disapproval,37.701614129,2019
10th Grade,Once or Twice,Alcohol,2003,Disapproval,36.796889272,2019
10th Grade,Once or Twice,Alcohol,2004,Disapproval,37.579206644,2019
10th Grade,Once or Twice,Alcohol,2005,Disapproval,38.452073725,2019
10th Grade,Once or Twice,Alcohol,2006,Disapproval,37.815124278,2019
10th Grade,Once or Twice,Alcohol,2007,Disapproval,39.462956064,2019
10th Grade,Once or Twice,Alcohol,2008,Disapproval,41.792266534,2019
10th Grade,Once or Twice,Alcohol,2009,Disapproval,39.6783418,2019
10th Grade,Once or Twice,Alcohol,2010,Disapproval,40.267281485,2019
10th Grade,Once or Twice,Alcohol,2011,Disapproval,41.473992431,2019
10th Grade,Once or Twice,Alcohol,2012,Disapproval,39.61198439,2019
10th Grade,Once or Twice,Alcohol,2013,Disapproval,38.453881873,2019
10th Grade,Once or Twice,Alcohol,2014,Disapproval,40.67144845,2019
10th Grade,Once or Twice,Alcohol,2015,Disapproval,39.961887833,2019
10th Grade,Once or Twice,Alcohol,2016,Disapproval,41.752449388,2019
10th Grade,Once or Twice,Alcohol,2017,Disapproval,39.277853118,2019
10th Grade,Once or Twice,Alcohol,2018,Disapproval,39.601339537,2019
10th Grade,Once or Twice,Alcohol,2019,Disapproval,40.418997803,2019
