grade,time,drug,year,attitude,estimate,LBYear1
12th Grade,In Private,Alcohol,1976,Legality,18.262999685,2019
12th Grade,In Private,Alcohol,1977,Legality,15.597703343,2019
12th Grade,In Private,Alcohol,1978,Legality,15.583932559,2019
12th Grade,In Private,Alcohol,1979,Legality,15.818191696,2019
12th Grade,In Private,Alcohol,1980,Legality,16.014907363,2019
12th Grade,In Private,Alcohol,1981,Legality,17.159667791,2019
12th Grade,In Private,Alcohol,1982,Legality,18.192109982,2019
12th Grade,In Private,Alcohol,1983,Legality,18.385270032,2019
12th Grade,In Private,Alcohol,1984,Legality,17.396173241,2019
12th Grade,In Private,Alcohol,1985,Legality,20.309179521,2019
12th Grade,In Private,Alcohol,1986,Legality,20.931785872,2019
12th Grade,In Private,Alcohol,1987,Legality,21.418242712,2019
12th Grade,In Private,Alcohol,1988,Legality,22.555270588,2019
12th Grade,In Private,Alcohol,1989,Legality,27.312765259,2019
12th Grade,In Private,Alcohol,1990,Legality,29.400717353,2019
12th Grade,In Private,Alcohol,1991,Legality,29.758224637,2019
12th Grade,In Private,Alcohol,1992,Legality,33.009301849,2019
12th Grade,In Private,Alcohol,1993,Legality,30.14480223,2019
12th Grade,In Private,Alcohol,1994,Legality,28.418593525,2019
12th Grade,In Private,Alcohol,1995,Legality,27.276437408,2019
12th Grade,In Private,Alcohol,1996,Legality,26.484184359,2019
12th Grade,In Private,Alcohol,1997,Legality,26.07638014,2019
12th Grade,In Private,Alcohol,1998,Legality,24.486239792,2019
12th Grade,In Private,Alcohol,1999,Legality,24.614245408,2019
12th Grade,In Private,Alcohol,2000,Legality,25.24847735,2019
12th Grade,In Private,Alcohol,2001,Legality,26.604432298,2019
12th Grade,In Private,Alcohol,2002,Legality,26.337918833,2019
12th Grade,In Private,Alcohol,2003,Legality,27.204383528,2019
12th Grade,In Private,Alcohol,2004,Legality,26.003044473,2019
12th Grade,In Private,Alcohol,2005,Legality,26.412670628,2019
12th Grade,In Private,Alcohol,2006,Legality,28.996066426,2019
12th Grade,In Private,Alcohol,2007,Legality,31.030853608,2019
12th Grade,In Private,Alcohol,2008,Legality,29.840146339,2019
12th Grade,In Private,Alcohol,2009,Legality,30.583882126,2019
12th Grade,In Private,Alcohol,2010,Legality,30.705045067,2019
12th Grade,In Private,Alcohol,2011,Legality,28.695222127,2019
12th Grade,In Private,Alcohol,2012,Legality,25.432688328,2019
12th Grade,In Private,Alcohol,2013,Legality,27.255636614,2019
