grade,time,drug,year,attitude,estimate,LBYear1,LBYear2
8th Grade,Once or Twice,Adderall,2012,Risk,17.594748213,2019,
8th Grade,Once or Twice,Adderall,2013,Risk,16.481285912,2019,
8th Grade,Once or Twice,Adderall,2014,Risk,20.730476319,2019,
8th Grade,Once or Twice,Adderall,2015,Risk,19.20503696,2019,
8th Grade,Once or Twice,Adderall,2016,Risk,21.372080399,2019,
8th Grade,Once or Twice,Adderall,2017,Risk,20.406786204,2019,
8th Grade,Once or Twice,Adderall,2018,Risk,20.124708938,2019,
8th Grade,Once or Twice,Adderall,2019,Risk,20.566841406,2019,
8th Grade,Once or Twice,Adderall,2021,Risk,20.937886705,2019,
8th Grade,Once or Twice,Adderall,2022,Risk,20.481668887,2019,
10th Grade,Once or Twice,Adderall,2012,Risk,19.66790499,2019,
10th Grade,Once or Twice,Adderall,2013,Risk,17.562387271,2019,
10th Grade,Once or Twice,Adderall,2014,Risk,22.24507424,2019,
10th Grade,Once or Twice,Adderall,2015,Risk,22.886667025,2019,
10th Grade,Once or Twice,Adderall,2016,Risk,22.549117911,2019,
10th Grade,Once or Twice,Adderall,2017,Risk,21.625715355,2019,
10th Grade,Once or Twice,Adderall,2018,Risk,23.18303007,2019,
10th Grade,Once or Twice,Adderall,2019,Risk,22.288030791,2019,
10th Grade,Once or Twice,Adderall,2021,Risk,25.93590691,2019,
10th Grade,Once or Twice,Adderall,2022,Risk,28.502899137,2019,
12th Grade,Once or Twice,Adderall,2010,Risk,33.307176322,2019,
12th Grade,Once or Twice,Adderall,2011,Risk,31.226005269,2019,
12th Grade,Once or Twice,Adderall,2012,Risk,27.189302959,2019,
12th Grade,Once or Twice,Adderall,2013,Risk,31.780237678,2019,
12th Grade,Once or Twice,Adderall,2014,Risk,33.580492407,2019,
12th Grade,Once or Twice,Adderall,2015,Risk,34.278744139,2019,
12th Grade,Once or Twice,Adderall,2016,Risk,32.524033451,2019,
12th Grade,Once or Twice,Adderall,2017,Risk,32.009273286,2019,
12th Grade,Once or Twice,Adderall,2018,Risk,34.040224764,2019,
12th Grade,Once or Twice,Adderall,2019,Risk,34.322673248,2019,
12th Grade,Once or Twice,Adderall,2021,Risk,30.194937887,2019,
12th Grade,Once or Twice,Adderall,2022,Risk,31.76646391,2019,
8th Grade,Occasionally,Adderall,2012,Risk,29.858925171,2019,
8th Grade,Occasionally,Adderall,2013,Risk,28.268862684,2019,
8th Grade,Occasionally,Adderall,2014,Risk,32.487227309,2019,
8th Grade,Occasionally,Adderall,2015,Risk,32.047197788,2019,
8th Grade,Occasionally,Adderall,2016,Risk,35.908231055,2019,
8th Grade,Occasionally,Adderall,2017,Risk,33.799848928,2019,
8th Grade,Occasionally,Adderall,2018,Risk,34.048996035,2019,
8th Grade,Occasionally,Adderall,2019,Risk,35.219353462,2019,
8th Grade,Occasionally,Adderall,2021,Risk,30.015157302,2019,
8th Grade,Occasionally,Adderall,2022,Risk,28.108812983,2019,
10th Grade,Occasionally,Adderall,2012,Risk,34.349282654,2019,
10th Grade,Occasionally,Adderall,2013,Risk,30.451108179,2019,
10th Grade,Occasionally,Adderall,2014,Risk,36.999189536,2019,
10th Grade,Occasionally,Adderall,2015,Risk,37.013042933,2019,
10th Grade,Occasionally,Adderall,2016,Risk,35.7745747,2019,
10th Grade,Occasionally,Adderall,2017,Risk,36.3951208,2019,
10th Grade,Occasionally,Adderall,2018,Risk,39.774998879,2019,
10th Grade,Occasionally,Adderall,2019,Risk,39.111397263,2019,
