DrugName,Superscript,PublishLink,EditLink
Abstainers,mm,https://docs.google.com/document/d/e/2PACX-1vSZGKutKtggBoTyNzMrh8HZacm612zU6IWUTlO6_gwUP7BYg5BzpqaWSP3_qTbHT1sgP4bRHNWxesaG/pub?embedded=true,https://docs.google.com/document/d/1Mc_kAAZ3320fNX-EmbfeS-v42XcAEYoEPo9-rNpFmy4/edit?usp=sharing
Adderall,"k,n,o",https://docs.google.com/document/d/e/2PACX-1vQhq_zQHaqizEMDIhw1XhQx7okNJiWBbdAhTrrc4aIVOw0BGxGASzOGM3mvpLFRb7FK6gEhfWxGe2NI/pub?embedded=true,https://docs.google.com/document/d/13_l6drUNbvTRJuEan8UUfJd3E9thLhKdzsdeu3g-dWA/edit?usp=sharing
ADHD Either Type,"n,dd,ee",https://docs.google.com/document/d/e/2PACX-1vSkTXVkkbIf2ghdmUkQStC0qjvn3cab5SA96iDkQCx8lqUCweBIf8jT3kZbr4oYb2LcVjUgJv7gR5pi/pub?embedded=true,https://docs.google.com/document/d/11jPEh6K6GwqReGF2NJh85nvtlymJiKPLC8iB4xQ_nLY/edit?usp=sharing
ADHD Non-Stimulant,"n,dd,ee",https://docs.google.com/document/d/e/2PACX-1vQcY5ac3QNWqIsrPH4MEATTSxV8UxNlEMRhXGH1y5nJp2YAmqpXC9AEH1yfmTvhu24n2Np3dozkEqPm/pub?embedded=true,https://docs.google.com/document/d/1o7EGKy7MurhtumoIGdZOEiqrUfHARxXHI5xZBG1AUns/edit?usp=sharing
ADHD Stimulant,"n,dd,ee",https://docs.google.com/document/d/e/2PACX-1vRdUR_Bc5G85MYnf0SW2sy8sXz_PWHbtkwaApNhLeHOvMgO6KoyCtg8zIKz1n5ljXvshm2FmCy-1oGm/pub?embedded=true,https://docs.google.com/document/d/1EXmF13C4zcBq84BRIpQLK6zbrSth6YZQ3kQ46iI51sE/edit?usp=sharing
Alcohol,"s,nn",https://docs.google.com/document/d/e/2PACX-1vRSQb90Doy-OMkrTuHxpcHEcnGjCXVbrOwt2UET1rUC-GdZPFsTn4RuV7jDumlGnI7wZuFkj4PbxQWc/pub?embedded=true,https://docs.google.com/document/d/1fcYW75NKbVwtonPUgEy_wsf0GUwHLMbjrhnpjGmA2mY/edit?usp=sharing
Alcoholic Beverages with Caffeine,"n,o,z",https://docs.google.com/document/d/e/2PACX-1vRZhkMi0HHMAVgLU9VLyhwLFXZ7SD_TdEz9fMux6Z_PXH76kShC0XS4qz1RlvYH_T-mZhQbpdXoho1S/pub?embedded=true,https://docs.google.com/document/d/1l4A_JuYv7Cve5RQS691qNokrlkcGP4uq26vbThLFm1Q/edit?usp=sharing
Amphetamines,"k,m",https://docs.google.com/document/d/e/2PACX-1vRrrrTFVqUe0Fgi4Pw2RMucEgYI0F2FJhdcHoqw23qbKO3z2iA_1BDhpVOUPOPdge0dCEN3em2xi4bM/pub?embedded=true,https://docs.google.com/document/d/1B5ulv65882d8rtWkCIrb8qoN-efS7w2aR4pVnZUZH1U/edit?usp=sharing
Androstenedione,bb,https://docs.google.com/document/d/e/2PACX-1vRg_RxejNiMTOpJ1X_gRsL9dv62d5YGOrYSKSTpzqRIOZoEBlblecqC0jwTaeHhuOowwEnhMVtqjR2x/pub?embedded=true,https://docs.google.com/document/d/1YtcaNyvH-AK0wr6zd51wDvwiKkZ-rBBNtKqI5vNwk18/edit?usp=sharing
Any Illicit Drug,"a,ll",https://docs.google.com/document/d/e/2PACX-1vSqNYZMcZQ7UibxNAqeVsbS6cxxfBGX4iTGJ3F4GZp0WV3v_EI-C1vF8v6U9xNaFwNUvqH0XJFeBkDZ/pub?embedded=true,https://docs.google.com/document/d/1pc6MltQxVvGiQ8IXXPqsPBonYnRh4L01dozN9wbkQHg/edit?usp=sharing
Any Illicit Drug including Inhalants,"a,c,ll",https://docs.google.com/document/d/e/2PACX-1vSvnoRolzy5nHoYHSwFMzBF9rgHazi-M8SZz-E0WaxR1GYeeHdPYNYdVt_k9jJP-j_VvuJRT86JmaUW/pub?embedded=true,https://docs.google.com/document/d/1yfdv0GzuaBbqVRvBo1ig1QIriWXW1kxj30swKQNBIUg/edit?usp=sharing
Any Illicit Drug other than Marijuana,"a,b",https://docs.google.com/document/d/e/2PACX-1vTkCtBvNDcwuc6a0xHpSu9bG7LONO8eWO8mON2WU4pYrHUqVjmpP45vbRoxG5mU-dSAJkfns0m5DI2a/pub?embedded=true,https://docs.google.com/document/d/1ae488KIC5RyP1-FtkjegGeQ6mtly97kNXHf1l8e-9cA/edit?usp=sharing
Any Nicotine Use other than Vaping,"e,hh",https://docs.google.com/document/d/e/2PACX-1vQpbwdhtDKN1uX_D6lguAbzmoCOgAPPq2CumkqHEBoy2lJ3dosaYcSOgE6R0jKxzTLjpOkSfghtcgAN/pub?embedded=true,https://docs.google.com/document/d/1GNcrvj84yGVgSCE9Frv1-nLAxMxYAtTCvWZOpkbd8sU/edit?usp=sharing
