time,drug,year,estimate,grade,LBYear1,LBYear2
Lifetime,Abstainers,2017,67.88431958,8th Grade,,
Lifetime,Abstainers,2018,64.8806123,8th Grade,,
Lifetime,Abstainers,2019,63.11642338,8th Grade,,
Lifetime,Abstainers,2020,63.92492933,8th Grade,,
Lifetime,Abstainers,2021,69.93338769,8th Grade,,
Lifetime,Abstainers,2022,67.06053127,8th Grade,,
Lifetime,Abstainers,2023,70.83698607,8th Grade,,
Lifetime,Abstainers,2017,44.61800082,10th Grade,,
Lifetime,Abstainers,2018,42.72195701,10th Grade,,
Lifetime,Abstainers,2019,41.69881434,10th Grade,,
Lifetime,Abstainers,2020,40.31453376,10th Grade,,
Lifetime,Abstainers,2021,55.76763257,10th Grade,,
Lifetime,Abstainers,2022,48.81064943,10th Grade,,
Lifetime,Abstainers,2023,53.88777188,10th Grade,,
Lifetime,Abstainers,2017,26.45291889,12th Grade,,
Lifetime,Abstainers,2018,26.39183344,12th Grade,,
Lifetime,Abstainers,2019,29.69632759,12th Grade,,
Lifetime,Abstainers,2020,29.39113994,12th Grade,,
Lifetime,Abstainers,2021,35.25530973,12th Grade,,
Lifetime,Abstainers,2022,30.97278247,12th Grade,,
Lifetime,Abstainers,2023,37.50674171,12th Grade,,
Last 30 Days,Abstainers,2017,87.0380474,8th Grade,,
Last 30 Days,Abstainers,2018,84.1546168,8th Grade,,
Last 30 Days,Abstainers,2019,82.23221392,8th Grade,,
Last 30 Days,Abstainers,2020,82.6585046,8th Grade,,
Last 30 Days,Abstainers,2021,86.86445083,8th Grade,,
Last 30 Days,Abstainers,2022,87.12190171,8th Grade,,
Last 30 Days,Abstainers,2023,87.47989729,8th Grade,,
Last 30 Days,Abstainers,2017,68.85446766,10th Grade,,
Last 30 Days,Abstainers,2018,65.16902065,10th Grade,,
Last 30 Days,Abstainers,2019,64.78712021,10th Grade,,
Last 30 Days,Abstainers,2020,65.42426844,10th Grade,,
Last 30 Days,Abstainers,2021,77.39098162,10th Grade,,
Last 30 Days,Abstainers,2022,75.1775964,10th Grade,,
Last 30 Days,Abstainers,2023,76.85491089,10th Grade,,
Last 30 Days,Abstainers,2017,52.54602407,12th Grade,,
Last 30 Days,Abstainers,2018,51.75628119,12th Grade,,
Last 30 Days,Abstainers,2019,53.82042128,12th Grade,,
Last 30 Days,Abstainers,2020,53.10276065,12th Grade,,
Last 30 Days,Abstainers,2021,60.10452716,12th Grade,,
Last 30 Days,Abstainers,2022,58.31331042,12th Grade,,
Last 30 Days,Abstainers,2023,62.58600546,12th Grade,,
Last 12 Months,Adderall,2009,1.986052785,8th Grade,,
Last 12 Months,Adderall,2010,2.288346061,8th Grade,,
Last 12 Months,Adderall,2011,1.673664393,8th Grade,,
Last 12 Months,Adderall,2012,1.663845183,8th Grade,,
Last 12 Months,Adderall,2013,1.765851563,8th Grade,,
Last 12 Months,Adderall,2014,1.263545537,8th Grade,,
Last 12 Months,Adderall,2015,1.049554903,8th Grade,,
Last 12 Months,Adderall,2016,1.509960101,8th Grade,,
Last 12 Months,Adderall,2017,1.251874567,8th Grade,,
Last 12 Months,Adderall,2018,1.800073714,8th Grade,,
