"time","drug","yradmin_fu","age","estimate"
"12 Month","Adderall",2009,"Ages 19-30",5.168
"12 Month","Adderall",2010,"Ages 19-30",5.930
"12 Month","Adderall",2011,"Ages 19-30",5.797
"12 Month","Adderall",2012,"Ages 19-30",6.472
"12 Month","Adderall",2013,"Ages 19-30",6.281
"12 Month","Adderall",2014,"Ages 19-30",7.186
"12 Month","Adderall",2015,"Ages 19-30",6.892
"12 Month","Adderall",2016,"Ages 19-30",6.774
"12 Month","Adderall",2017,"Ages 19-30",8.149
"12 Month","Adderall",2018,"Ages 19-30",8.258
"12 Month","Adderall",2019,"Ages 19-30",5.936
"12 Month","Adderall",2020,"Ages 19-30",6.998
"12 Month","Adderall",2021,"Ages 19-30",5.667
"12 Month","Adderall",2022,"Ages 19-30",6.846
"12 Month","Adderall",2009,"Ages 19-20",8.171
"12 Month","Adderall",2010,"Ages 19-20",6.915
"12 Month","Adderall",2011,"Ages 19-20",8.279
"12 Month","Adderall",2012,"Ages 19-20",7.545
"12 Month","Adderall",2013,"Ages 19-20",9.751
"12 Month","Adderall",2014,"Ages 19-20",11.120
"12 Month","Adderall",2015,"Ages 19-20",9.426
"12 Month","Adderall",2016,"Ages 19-20",7.694
"12 Month","Adderall",2017,"Ages 19-20",4.857
"12 Month","Adderall",2018,"Ages 19-20",6.969
"12 Month","Adderall",2019,"Ages 19-20",2.908
"12 Month","Adderall",2020,"Ages 19-20",5.149
"12 Month","Adderall",2021,"Ages 19-20",2.335
"12 Month","Adderall",2022,"Ages 19-20",3.107
"12 Month","Adderall",2009,"Ages 21-22",7.278
"12 Month","Adderall",2010,"Ages 21-22",8.476
"12 Month","Adderall",2011,"Ages 21-22",9.473
"12 Month","Adderall",2012,"Ages 21-22",7.858
"12 Month","Adderall",2013,"Ages 21-22",8.941
"12 Month","Adderall",2014,"Ages 21-22",7.077
"12 Month","Adderall",2015,"Ages 21-22",10.735
"12 Month","Adderall",2016,"Ages 21-22",9.359
"12 Month","Adderall",2017,"Ages 21-22",12.830
"12 Month","Adderall",2018,"Ages 21-22",10.293
"12 Month","Adderall",2019,"Ages 21-22",9.055
"12 Month","Adderall",2020,"Ages 21-22",7.564
"12 Month","Adderall",2021,"Ages 21-22",5.984
"12 Month","Adderall",2022,"Ages 21-22",4.438
"12 Month","Adderall",2009,"Ages 23-24",4.181
