"drug","age","time","_NAME_","_2009","_2010","_2011","_2012","_2013","_2014","_2015","_2016","_2017","_2018","_2019","_2020","_2021","_2022","_1993","_1994","_1995","_1996","_1997","_1998","_1999","_2000","_2001","_2002","_2003","_2004","_2005","_2006","_2007","_2008","_1977","_1978","_1979","_1980","_1981","_1982","_1983","_1984","_1985","_1986","_1987","_1988","_1989","_1990","_1991","_1992"
"Adderall","Ages 19-20","12 Month","estimate",8.1714,6.9148,8.2790,7.5451,9.7506,11.1199,9.4262,7.6938,4.8566,6.9692,2.9077,5.1488,2.335,3.107,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adderall","Ages 19-30","12 Month","estimate",5.1677,5.9299,5.7975,6.4723,6.2807,7.1862,6.8921,6.7742,8.1488,8.2583,5.9362,6.9975,5.667,6.846,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adderall","Ages 21-22","12 Month","estimate",7.2780,8.4765,9.4730,7.8582,8.9413,7.0767,10.7349,9.3593,12.8295,10.2933,9.0547,7.5639,5.984,4.438,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adderall","Ages 23-24","12 Month","estimate",4.1807,6.2831,5.5754,7.7787,5.8391,6.8813,8.0303,5.5696,11.1878,12.9187,6.8885,7.3387,5.207,6.348,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adderall","Ages 25-26","12 Month","estimate",4.5137,6.3019,4.5711,5.9065,5.1720,7.3803,6.6777,6.8351,7.3800,7.8064,7.3776,10.0416,8.375,8.143,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adderall","Ages 27-28","12 Month","estimate",4.1546,4.1398,4.3884,5.7652,4.7741,6.3369,3.4602,5.4714,7.5559,5.4466,5.0708,5.6163,8.470,10.996,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Adderall","Ages 29-30","12 Month","estimate",2.8580,3.2580,2.1361,3.8372,3.0977,4.5214,3.5437,5.9762,5.4726,6.4039,4.6320,6.2167,3.116,6.026,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 35","12 Month","estimate",83.5022,84.7984,88.9797,85.7261,86.1822,88.2221,85.6701,85.6916,86.9273,87.2943,88.0411,88.4413,86.872,85.380,82.272,83.3942,82.2813,84.2760,83.3826,82.6657,82.1549,81.5462,82.5244,85.2368,82.7525,85.4247,85.5528,83.1840,84.6158,84.2504,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 35","30 Day","estimate",64.3059,66.3851,71.0091,68.0235,68.8516,72.1046,71.0388,68.6924,72.1097,72.7837,73.2944,72.4575,72.697,72.547,65.446,65.7342,67.0796,65.1743,66.0178,63.0365,65.1925,64.4384,64.4532,67.6937,64.6822,69.3538,68.1919,62.4228,67.7368,64.4734,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 35","5+ Drinks","estimate",22.6048,24.8983,27.0124,26.1841,25.2395,25.5274,30.6038,26.0764,28.7721,30.3460,31.7679,29.0938,27.639,31.662,22.004,22.4951,21.0793,23.0336,22.5668,21.6808,22.5226,24.0998,22.5359,25.1398,25.2770,22.2821,23.5125,22.9459,24.7833,26.2436,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 35","Daily","estimate",6.9746,6.5344,8.6625,6.9863,7.0291,7.5973,9.8314,7.8468,9.8552,9.1852,9.2047,13.3279,8.502,7.513,6.274,7.9237,5.9232,7.8122,4.8611,6.4546,5.3068,5.4633,6.1958,5.1101,4.2184,6.5507,6.3594,4.9474,8.7280,5.5173,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 35","Lifetime","estimate",95.5126,95.9039,97.7618,94.3220,95.6001,96.2078,94.7571,96.4907,96.3953,95.2443,96.6775,96.0072,98.356,97.770,96.662,97.9132,97.3711,97.0117,96.4634,97.2514,95.7860,97.0308,95.9340,96.9319,96.4376,98.1770,97.0259,96.8918,95.9160,96.4872,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 40","12 Month","estimate",85.6633,86.1632,84.1277,83.4383,84.2959,83.6278,81.0338,85.6151,82.1782,84.2426,85.7685,84.2109,84.865,87.119,".",".",".",".",".",77.4415,80.4809,79.7333,81.4930,80.9425,81.3381,80.8326,82.2382,79.7594,85.1798,82.1024,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 40","30 Day","estimate",70.1840,72.3247,66.1011,68.0181,69.3989,65.7999,64.6660,69.0574,69.8029,69.0903,71.0852,70.8496,73.145,73.281,".",".",".",".",".",60.8815,64.4869,62.3878,65.3991,65.5020,66.1001,64.6166,65.6350,62.3395,66.8854,67.4416,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 40","5+ Drinks","estimate",25.1144,23.6912,22.4608,23.5238,26.5097,23.4560,20.2837,23.7221,26.7039,23.2214,22.5030,26.3254,28.931,31.211,".",".",".",".",".",20.6934,21.2642,19.0657,22.0769,20.9561,22.1502,21.8931,23.5979,21.4517,22.1337,24.2758,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 40","Daily","estimate",9.1705,8.0908,7.4829,8.3043,9.3502,7.0777,8.9501,8.0065,9.5055,8.7539,7.0941,11.5686,7.715,9.358,".",".",".",".",".",7.2758,7.9253,6.8642,7.7349,7.0693,7.8757,6.5247,7.7768,7.7736,6.8674,7.5242,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 40","Lifetime","estimate",98.2454,98.0703,98.1364,96.1492,97.4346,96.2084,96.0724,98.6202,95.3137,96.8452,97.4464,96.0697,97.700,97.094,".",".",".",".",".",96.7868,98.5510,97.7781,97.6834,97.4994,97.4700,96.6944,97.6222,97.2263,97.5336,97.2148,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 45","12 Month","estimate",82.6623,82.1765,80.0762,84.2030,81.1964,83.9246,84.2674,81.9521,84.5650,85.2268,80.0654,85.9980,83.621,84.311,".",".",".",".",".",".",".",".",".",".",79.1308,79.7016,79.4793,82.7681,80.7043,80.0604,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 45","30 Day","estimate",67.5293,67.7299,65.0383,71.0770,67.3243,70.6288,67.4636,68.0479,70.1455,70.2285,67.5729,66.2060,71.433,69.200,".",".",".",".",".",".",".",".",".",".",63.4483,66.0163,64.6168,66.7199,64.0792,67.0708,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 45","5+ Drinks","estimate",22.9443,23.6354,21.5162,21.4166,21.3846,25.4326,21.2107,24.3422,24.9113,24.9239,23.5031,24.0130,23.839,26.867,".",".",".",".",".",".",".",".",".",".",21.8022,20.5172,20.6846,20.8897,19.5529,22.4865,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 45","Daily","estimate",9.7125,7.4944,8.1414,9.6918,8.0839,9.1019,9.8936,7.7001,9.6215,9.7175,8.1615,12.6982,9.864,6.588,".",".",".",".",".",".",".",".",".",".",8.2125,8.9758,8.6789,9.5309,8.8897,10.3996,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 45","Lifetime","estimate",97.2586,97.8422,97.5319,98.2519,97.5262,98.7218,98.1960,98.4857,96.6089,97.8215,96.4499,96.9831,99.071,96.425,".",".",".",".",".",".",".",".",".",".",97.0497,98.5820,97.8549,97.9655,97.6053,98.3089,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 50","12 Month","estimate",80.3738,79.8740,81.4917,80.2141,79.1919,84.3260,81.4559,81.5859,82.6304,79.4821,83.8631,83.5063,79.216,82.563,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",79.0951,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 50","30 Day","estimate",64.6500,66.4304,67.7304,65.3436,65.6641,67.3278,68.6306,67.4331,70.2465,63.6637,72.3002,67.1720,65.341,70.577,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",64.4221,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 50","5+ Drinks","estimate",18.6270,18.4112,20.2092,20.1418,21.8726,23.6362,23.8516,23.1964,21.1767,21.3143,26.1363,22.3249,23.092,27.339,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",20.4796,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 50","Daily","estimate",9.2919,10.4392,11.1716,11.0838,11.2898,10.3998,9.6380,10.0225,9.8948,10.1371,9.8134,10.6266,8.100,10.504,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",10.6475,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 50","Lifetime","estimate",98.7583,98.0621,98.0632,97.7750,98.6804,97.8723,98.6011,97.9580,98.1980,97.5795,98.6993,98.4856,98.405,96.930,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",97.8084,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 55","12 Month","estimate",".",".",".",".",76.8663,78.0660,78.2463,79.6142,81.9243,80.1337,81.5998,80.1879,79.224,83.855,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 55","30 Day","estimate",".",".",".",".",62.6837,64.2618,65.5121,68.0421,67.1316,66.4995,65.3441,62.9889,66.724,70.153,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 55","5+ Drinks","estimate",".",".",".",".",17.4875,18.3671,20.0243,20.4588,18.0565,19.9515,23.8739,20.7285,23.040,21.474,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 55","Daily","estimate",".",".",".",".",10.6894,10.4614,11.1879,14.4493,11.1507,11.0407,11.4889,12.9461,10.159,10.820,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 55","Lifetime","estimate",".",".",".",".",97.6216,98.8537,98.2798,98.1367,97.8641,98.9290,97.9539,98.9292,98.246,98.464,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 60","12 Month","estimate",".",".",".",".",".",".",".",".",".",77.2197,78.1579,78.1286,79.033,80.260,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 60","30 Day","estimate",".",".",".",".",".",".",".",".",".",61.4766,64.7161,61.2706,65.087,65.533,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 60","5+ Drinks","estimate",".",".",".",".",".",".",".",".",".",17.3366,18.1010,16.9580,18.546,18.288,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 60","Daily","estimate",".",".",".",".",".",".",".",".",".",12.8391,11.8875,12.2276,14.678,12.963,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Age 60","Lifetime","estimate",".",".",".",".",".",".",".",".",".",97.6049,99.1291,98.3749,98.562,98.001,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-20","10+ Drinks","estimate",10.7618,8.6978,10.2733,10.5041,6.8615,13.6958,7.2887,7.4743,8.8931,7.0946,7.9568,8.1905,10.028,5.862,".",".",".",".",".",".",".",".",".",".",".",".",13.0952,13.3997,12.1582,12.4909,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-20","12 Month","estimate",71.8612,67.6085,72.1181,69.9571,67.3481,65.8893,69.2958,66.5851,65.1869,63.3142,63.5398,63.0985,66.568,62.400,80.448,79.0894,78.4631,79.9565,79.3533,80.1989,80.3873,78.1601,78.2457,78.2056,75.7695,76.9185,77.3370,77.7866,73.4017,73.8117,88.7952,90.4034,90.5444,89.1695,91.1335,89.4657,89.0589,89.4508,89.3316,88.1530,88.5495,87.2675,87.3377,86.0133,85.2165,82.8786
"Alcohol","Ages 19-20","15+ Drinks","estimate",4.3403,1.7174,5.8236,7.9893,3.0821,6.3030,2.6731,0.4216,2.9793,3.8514,".",2.2777,1.653,".",".",".",".",".",".",".",".",".",".",".",".",".",5.8789,3.4435,6.9367,3.4310,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-20","30 Day","estimate",52.2473,49.6996,52.4485,52.4082,48.9482,48.2037,48.2978,48.9758,45.8885,43.0335,43.0761,41.6668,46.902,41.232,59.698,60.6467,58.8519,58.0591,59.6366,60.3998,62.4880,56.9460,58.7506,58.9917,57.3427,57.7947,58.2379,57.3434,54.1728,53.4137,71.5151,76.7657,76.5260,76.5028,77.5829,76.0115,74.5604,74.3321,74.4575,72.8181,72.8099,69.1250,69.1215,66.6981,64.8128,62.0154
"Alcohol","Ages 19-20","4+ Drinks","estimate",33.8489,26.2280,33.1438,32.1940,25.4657,28.7515,22.7479,16.4217,27.8685,19.7613,21.2616,18.6435,21.938,20.598,".",".",".",".",".",".",".",".",".",".",".",".",42.3252,37.0975,32.2551,36.9506,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-20","5+ Drinks","estimate",27.5876,26.7245,30.7026,27.4669,27.3693,27.5114,23.4624,22.3027,21.5889,18.9171,18.4206,17.6788,25.053,18.973,33.591,35.1423,31.3746,32.8050,36.8587,34.9771,35.9105,34.7147,36.4024,35.8849,34.2744,37.0689,35.5269,34.4549,30.5029,30.7659,40.1267,41.6165,42.1266,43.0617,43.6100,42.2925,41.5893,41.4945,42.9367,40.7701,37.7513,36.5823,36.1102,35.6803,37.1323,35.0352
"Alcohol","Ages 19-20","Daily","estimate",2.4370,1.6576,2.4087,2.3120,2.9525,2.5831,1.9943,1.7075,1.4105,1.1759,0.4900,2.2290,1.185,0.775,3.094,3.5728,3.0812,3.0262,4.9330,3.5407,4.3483,3.7827,3.7584,3.6985,4.2820,4.8629,3.5739,4.4747,3.4156,2.3339,5.2998,7.7886,7.5113,7.3260,7.4029,7.8604,5.6927,5.8523,5.9249,5.2256,6.0390,4.9067,4.7231,4.4147,4.0738,3.6708
"Alcohol","Ages 19-20","Lifetime","estimate",76.6931,73.7372,76.7995,73.2843,71.8912,72.2723,73.5702,72.4800,71.2826,67.0585,66.9760,67.1160,73.542,70.559,87.661,86.6516,86.7005,86.9093,85.0771,85.2872,86.5791,84.4757,83.1236,82.7234,83.1819,82.6355,81.3762,81.6157,76.9771,78.1307,93.4031,94.4746,94.2273,94.1682,94.8051,94.2024,94.3051,93.3469,94.3271,93.4866,93.0435,93.3727,92.9600,91.8454,92.6416,89.1837
"Alcohol","Ages 19-30","10+ Drinks","estimate",13.0389,12.8580,11.1387,12.1073,11.0476,11.0354,10.7064,9.0259,11.4785,9.2708,10.5764,8.5835,10.943,9.448,".",".",".",".",".",".",".",".",".",".",".",".",10.9048,10.8121,12.5818,12.5645,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-30","12 Month","estimate",83.8300,82.4056,83.7786,82.0044,82.5041,82.1936,82.2439,82.5026,81.4829,82.0546,80.8947,82.0729,82.878,83.487,85.282,83.8549,84.5188,84.1052,83.9484,84.1327,83.5875,83.6014,84.0801,84.5171,83.0967,83.8515,83.5910,83.8068,83.6091,84.0635,88.7952,90.4034,90.4693,89.8820,91.3405,90.5904,90.6103,89.7979,90.3328,89.0145,89.4161,88.7368,88.1180,87.5991,87.0870,86.2823
"Alcohol","Ages 19-30","15+ Drinks","estimate",5.1893,4.8400,4.0518,5.4272,4.2068,3.4499,4.1307,2.4311,4.5363,4.1916,1.8726,4.0960,2.962,1.866,".",".",".",".",".",".",".",".",".",".",".",".",4.8270,4.3677,5.4666,4.3443,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-30","30 Day","estimate",69.7178,67.3537,68.4820,68.3632,67.8614,68.0612,67.6659,68.0726,66.5561,65.6665,66.4292,64.8135,67.015,67.494,68.166,68.0023,67.7608,66.9145,66.9394,66.5256,67.2062,65.9384,66.6674,67.8033,66.2745,67.3051,67.3198,68.1668,68.6653,69.0469,71.5151,76.7657,76.9188,77.8253,79.1878,78.2640,77.4043,76.8727,76.9887,75.5229,75.6272,73.9613,72.8890,71.3831,70.8995,69.3915
"Alcohol","Ages 19-30","4+ Drinks","estimate",41.0919,39.7329,40.6513,38.1068,38.8060,37.9059,37.0043,33.0191,35.3931,33.0402,33.8351,32.7166,39.429,38.421,".",".",".",".",".",".",".",".",".",".",".",".",42.4860,35.9317,41.7230,39.5334,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"Alcohol","Ages 19-30","5+ Drinks","estimate",36.8966,35.3715,35.8799,35.2179,35.0969,32.9703,31.3611,31.6871,30.5986,30.1125,30.3775,28.1398,32.169,30.515,32.946,33.1599,31.3294,32.8287,32.9545,33.4361,34.0289,33.4976,34.5056,34.5477,33.8445,35.1034,35.6705,36.4417,36.5546,37.2893,40.1267,41.6165,42.5689,42.3829,43.5301,40.8570,40.6443,38.4462,38.4412,36.2238,36.2008,33.8283,33.9831,33.1005,33.4644,32.9830
"Alcohol","Ages 19-30","Daily","estimate",6.3195,5.1160,5.5879,6.0390,5.4902,5.2115,5.2927,5.4609,5.3946,4.8119,4.4728,5.5645,4.815,4.628,4.790,4.3963,4.0007,4.5942,4.8942,4.1537,5.0907,4.4326,4.5210,4.8455,5.2469,4.8339,5.6704,5.4979,6.0314,5.4568,5.2998,7.7886,8.2348,7.9143,7.8574,8.1546,7.4205,7.3479,7.0461,6.3404,6.7920,6.6274,5.8102,5.2893,5.5466,5.0687
"Alcohol","Ages 19-30","Lifetime","estimate",88.6624,87.8731,88.1161,86.7165,86.9391,86.9324,87.4565,86.8803,86.0890,85.8259,85.3624,86.6407,88.473,90.935,92.769,92.1098,92.4279,92.0562,91.3025,91.4423,90.6811,91.1776,90.4129,90.6416,89.9414,89.8471,89.4326,89.1556,88.3599,89.0908,93.4031,94.4746,94.6742,94.2055,95.5156,95.1902,95.3123,94.9493,95.3823,95.0850,95.2151,94.9805,94.8839,94.9108,94.6793,94.4606
